anchor_id,anchor_type,token_mint,source_row_id,anchor_block_time,lookback_start_time,lookback_end_time,trade_count_300s,volume_usd_300s,volume_usd_60s,volume_usd_30s,volume_usd_10s,buy_usd_300s,sell_usd_300s,project_count,first_trade_time,last_trade_before_anchor,volume_accel_60_300,volume_accel_30_300,volume_accel_10_300,buy_pressure_300s,crescendo_broad_30_p80,crescendo_strict_30_p90,crescendo_fast_10_p90,crescendo_or_30p90_10p90,crescendo_plus_buy_pressure
control_952:-120s,control,7NU5YCuKWefCRR6mvuuMTrmCM5U1DNcFGCEZkHE3pump,952,1.779263653e+09,1.779263353e+09,1.779263653e+09,38,643.8391512778601,48.29324696350001,39.7996946886,16.1248131506,100.81623341914,543.02291785872,1,2026-05-20 07:49:25.000 UTC,2026-05-20 07:54:08.000 UTC,0.07500824836086771,0.061816207681076145,0.02504478505011115,0.15658605603440698,0,0,0,0,0
entry_927,entry,Faen87zaMH9mPWxWFbiW1JUbZsxKojBVsdy9QLGhpump,927,1.779266422e+09,1.779266122e+09,1.779266422e+09,10,388.6388897467701,182.42052957557,52.78312117884,<nil>,105.42035897757,283.2185307692,1,2026-05-20 08:36:17.000 UTC,2026-05-20 08:39:52.000 UTC,0.4693831070133816,0.13581533544734165,0,0.2712553008945141,0,0,0,0,0
control_900:-300s,control,4KEGqvZQDs3y3zPSKW5qopBxLrnXeMhxD2PcvPyQpump,900,1.779268817e+09,1.779268517e+09,1.779268817e+09,266,14981.286131533576,5733.5303010978,1857.86907552716,425.2968979542401,2627.5730494187087,12353.713082114855,2,2026-05-20 09:15:17.000 UTC,2026-05-20 09:20:14.000 UTC,0.3827128225679834,0.1240126554699865,0.028388543828626822,0.1753903520932042,0,0,0,0,0
control_883:-300s,control,AfV8U7ZSbdg4ZM5xZ2P9vbrfX3NmEBSDYNNuBriQpump,883,1.779271629e+09,1.779271329e+09,1.779271629e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
control_813:-60s,control,AL5SiGgTFVchgoezugke1LTaQvJq5QbDtKw8xWrhpump,813,1.779279157e+09,1.779278857e+09,1.779279157e+09,4,147.96686738154,31.413291602999998,31.413291602999998,<nil>,30.468982610250002,117.49788477128999,1,2026-05-20 12:09:48.000 UTC,2026-05-20 12:12:10.000 UTC,0.21229949757602995,0.21229949757602995,0,0.2059176027000977,1,0,0,0,0
control_649:-300s,control,HbugFhaL4ijduGiHcY4uT6CNgX58Qac9djsAFo7Dpump,649,1.779292831e+09,1.779292531e+09,1.779292831e+09,8,232.58305011328002,69.57778771448001,<nil>,<nil>,185.9598586916,46.623191421680005,1,2026-05-20 15:56:07.000 UTC,2026-05-20 15:59:34.000 UTC,0.29915244331258023,0,0,0.7995417490699683,0,0,0,0,0
control_649:-120s,control,HbugFhaL4ijduGiHcY4uT6CNgX58Qac9djsAFo7Dpump,649,1.779293011e+09,1.779292711e+09,1.779293011e+09,2,86.72985366448,<nil>,<nil>,<nil>,69.57778771448001,17.15206595,1,2026-05-20 15:59:09.000 UTC,2026-05-20 15:59:34.000 UTC,0,0,0,0.8022357328497998,0,0,0,0,0
control_646:-120s,control,GVCz335JzWyY8FHMA1rMKVFwz2F8oj2NKJQTZNSBpump,646,1.77929338e+09,1.77929308e+09,1.77929338e+09,1,7.829179545870001,<nil>,<nil>,<nil>,<nil>,7.829179545870001,1,2026-05-20 16:07:22.000 UTC,2026-05-20 16:07:22.000 UTC,0,0,0,0,0,0,0,0,0
control_540:-120s,control,A2LprEwUDVLQX3xVQqFAMwbzf7ZQdx9wJMJvkQBPpump,540,1.779302207e+09,1.779301907e+09,1.779302207e+09,273,114084.84829706367,18276.440496640564,15485.28162230412,10348.046226541801,6259.169895760441,107825.67840130317,1,2026-05-20 18:31:47.000 UTC,2026-05-20 18:36:45.000 UTC,0.16020041898158852,0.1357347785744716,0.09070482523320443,0.05486416460371928,0,0,1,1,0
control_289:-300s,control,FBS7YsjnGaURRHo5DCXuQBppYrzaBo74UDLRjKUjpump,289,1.779324195e+09,1.779323895e+09,1.779324195e+09,1,73.1728702944,73.1728702944,73.1728702944,73.1728702944,<nil>,73.1728702944,1,2026-05-21 00:43:08.000 UTC,2026-05-21 00:43:08.000 UTC,1,1,1,0,1,1,1,1,0
